	header	desc	date
0	Bitcoin se estabiliza cerca de $21K; inversores esperan evitar otra caída el fin de semana	Los analistas se cuestionan si BTC podrá mantenerse por encima del umbral de $20.000 en un clima de desconfianza entre los inversores.	Jun 25, 2022
1	Market Wrap: From GBTC Discount to Short Bitcoin ETF, Traders See Reasons for Optimism  	It's hard to imagine that data showing traders piling into a trade designed to profit from further bitcoin price declines might be bullish, but that's how some analysts are interpreting the signal.   	Jun 25, 2022
2	Grayscale Bitcoin Trust's 'GBTC Discount' Narrows With ETF Decision on Horizon	Shares of the GBTC are trading at a discount of 29% to bitcoin’s price, down from 34% last week – and there's all sorts of speculation on what it means. 	Jun 25, 2022
3	Bitcoin Hovers Near $21K as Investors Look to Avoid Another Weekend Slump	Analysts are questioning whether BTC will be able to remain above the $20K threshold amid weak investor confidence.	Jun 25, 2022
4	Investors Pile Into Short Bitcoin ETF Betting on Prices to Fall	ProShares' BITI exchange-traded fund raked in $11 million Thursday after a lackluster opening day.	Jun 25, 2022
5	First Mover Americas: AXS up 15% on Ronin Network News, BTC at $21K	The latest moves in crypto markets in context for June 24, 2022.	Jun 24, 2022
6	XRP Leads Crypto Majors Recovery; Bitcoin Rises Over $21K as Rate-Hike Concerns Wane	Technology stocks and equity indices rallied as investors assessed fresh comments from Federal Reserve Chair Jerome Powell.	Jun 24, 2022
7	First Mover Asia: Hong Kong’s OSL Sees Strong Institutional Interest in Crypto, Despite Luna-Induced Volatility; Bitcoin and Ether Surge	Fernando Martinez, OSL's head of Americas, said global, institutional trading volume is higher than it was in 2021, the best year in the crypto exchange’s history. Altcoins have a good day.	Jun 24, 2022
8	Market Wrap: Crypto Assets Stabilize as BTC Retakes $20K	Bitcoin traded at $20,900 in the afternoon, while some altcoins surged on positive news and improved sentiment.	Jun 24, 2022
9	Bitcoin escala nuevamente por encima de $20K mientras analistas debaten si es el mejor momento para comprar	Todavía está por verse si BTC experimentará declives similares a 2013 y 2017.	Jun 24, 2022
10	Bitcoin Back Above $20K as Analysts Debate Whether It's Good Time to Buy	It's still to be seen whether BTC will experience price declines similar to 2013 and 2017.	Jun 24, 2022
11	Powell Says Fed Plans Recommendation to Congress on CBDC	"The Federal Reserve chairman says a digital dollar is ""something we really need to explore as a country."""	Jun 24, 2022
12	First Mover Americas: Polygon's MATIC Rallies 25%; BTC Trades Flat	The latest moves in crypto markets in context for June 23, 2022.	Jun 23, 2022
13	Avalanche Bridge Launches Native Bitcoin Support; AVAX Surges 7.4%	The AVAX token is beginning to gain some upside momentum despite a drop-off in DeFi activity.	Jun 23, 2022
14	How Financial Advisors Should Think About the Crypto Crash	Billions of dollars have just been erased from the crypto market, but that shouldn’t spook FAs. 	Jun 23, 2022
15	First Mover Asia: DeFi’s Resilience During the Market Slowdown; Bitcoin Slumps Near $20K	DeFi apps have avoided any massive on-chain liquidations, surprises or smart contract failures, even as crypto markets have shed value.	Jun 23, 2022
16	Market Wrap: BTC Falls Below $20K as Crypto Bounce Loses Steam	The recovery for cryptocurrencies proved to be short-lived as investors digested the latest inflation remarks by U.S. central bank chair Jerome Powell.	Jun 23, 2022
17	Fed Chair Powell Says Soft Landing Will Be 'Challenging,' Calls for Crypto Regulation	The chair of the U.S. central bank was challenged by senators on Wednesday on issues including inflation and crypto regulation.	Jun 23, 2022
18	First Mover Americas: BTC Holds $20K as Altcoins Retrace	The latest moves in crypto markets in context for June 22, 2022.	Jun 22, 2022
19	Bitcoin cayó por debajo de $20K; Citi prevé en un 50% la posibilidad de recesión	Los futuros previos a las horas de trading estadounidenses cayeron, mientras que las acciones asiáticas se vieron afectadas el miércoles.	Jun 22, 2022
20	Shiba Inu's SHIB Jumps Amid Speculative Frenzy, BONE Proposal	SHIB rose by nearly 48% in value since the weekend before a sell-off this morning.	Jun 22, 2022
21	Bitcoin Slips to Nearly $20K, Citi Sees 50% Chance of Recession	Premarket futures for U.S. indexes fell, while Asian equities took a hit on Wednesday.	Jun 22, 2022
22	First Mover Asia: Bitcoin Holds Steady Over 20K, USDC's ‘Flippening’ of USDT and the Stablecoin Bear Market	Ether and most major altcoins spent much of the day in the green; a crisis in confidence has put pressure on the USDT peg. 	Jun 22, 2022
23	Market Wrap: Crypto Rally Continues, Smaller Altcoins Outperform Bitcoin in June	BTC is up 22% since Saturday’s low of $17,593.	Jun 22, 2022
24	CoinShares Report Shows Major Outflows From Bitcoin Short Funds	Digital-asset investment products see $39 million in outflows last week, with total assets under management reaching lowest level since February 2021. 	Jun 22, 2022
25	'Enormous Outflows' From Largest Bitcoin ETF May Have Triggered BTC Crash	The Canadian Purpose Bitcoin ETF lost half of its assets last Friday likely because of a huge liquidation, an Arcane Research analyst said in a note.	Jun 22, 2022
26	Bitcoin Holds Steady Above $21K Amid Stock Gains	Ether is also up over the past 24 hours, although analysts warn that the crypto rally is unlikely to last. 	Jun 22, 2022
27	First Mover Americas: Altcoins Lead as BTC Struggles to Stay Above $21K	The latest moves in crypto markets in context for June 21, 2022.	Jun 21, 2022
