	header	desc	author	date
0	How To Keep Your Self-Employment Income Rising With Inflation	With inflation rising, the self-employed must build in raises to keep up with the added costs. The following tactics can help the self-employed, freelancers and contractors build in raises without scaring away clients.	Ryan Derousseau	5 minutes ago
1	A Brutal Quarter	In pre-market trading, instead of a day of window dressing, it looks more like it’s shaping up to be a day of window breaking.	JJ Kinahan	16 minutes ago
2	Forget Gas Tax Holidays. Bigger State Tax Cuts And Stimulus Checks Are In The Works	With the fiscal year starting July 1 and a budget surplus, 27 states and DC have passed different state-tax cuts for income, sales, gas and earned income, as well as another wave of stimulus checks.	Gabriela Lopez Gomes	22 minutes ago
3	How The Price Is Right Predicted This Bear Market	Just when I thought 2022 couldn’t get any stranger, my inflation research led me to a bold but inescapable conclusion...	Brett Owens	26 minutes ago
4	Bearish Sentiment Improves, But Remains Elevated	Investors are bearish by a factor of two-to-one.	Simon Constable	28 minutes ago
5	Should You Buy Johnson & Johnson Stock At $177?	After a 3% rise year-to-date, at the current levels, we believe Johnson & Johnson stock (NYSE: JNJ) has only a little room left for growth.	Trefis Team	40 minutes ago
6	Hong Kong’s 25 Years Under China: Business Appeal Suffers Amid Diminishing Freedoms	July 1st marks the halfway point of Beijing’s 50-year promise to maintain Hong Kong’s capitalist system and freedoms that had enabled it to become an economic powerhouse under colonial rule.	Robert Olsen	56 minutes ago
7	Energy Crushes Tech In First Half	Energy outperformed tech by 65% in just six months.	Simon Constable	1 hour ago
8	Student Loan Forgiveness: Biden Could Extend Limited Waiver	This could be huge for student loan forgiveness.	Zack Friedman	1 hour ago
9	Billionaire Professor Lost More Than $2 Billion In One Day As Shares Dive On Lockup Expiration	Tang Xiao’ou, the billionaire professor behind Chinese artificial intelligence giant SenseTime, saw his wealth plunge by $2.4 billion in just one day, as shares in his Hong Kong-listed company dove as much as 51% after a lockup period ended on Thursday.	Yue Wang	1 hour ago
10	Trading At A Mere 4x Earnings, Is VALE Stock A Buy?	The shares of VALE (NYSE: VALE) one of the world’s largest producers of iron ore and nickel, with operations largely based in Brazil, have gained about 9% year-to-date, although they remain down by almost 30% from levels seen in early April, roughly tracking the movement in iron ore prices.	Trefis Team	2 hours ago
11	Hydrogen Stocks Have Corrected, Should You Buy?	Our theme of Hydrogen Economy Stocks, which includes the stocks of U.S. listed companies that sell hydrogen fuel cells, related renewable energy equipment, and supply hydrogen gas, has declined by almost 21% year-to-date, marginally underperforming the S&P 500 which remains down by about 20% over...	Trefis Team	3 hours ago
12	What To Expect From Snap Stock?	Snap’s stock (NYSE: SNAP) has lost approximately 71% YTD as compared to the 20% drop in the S&P500 index over the same period.	Trefis Team	4 hours ago
13	How The SEC Could Harm Faltering U.S. Economy	If not stopped, the SEC will severely harm the U.S. economy.	Steve Forbes	4 hours ago
14	Saving For Retirement: Six Minor Adjustments For Major Impact	Saving for retirement might feel like a daunting task, but it’s often the small changes that we make in life that add up to a big impact overall. Try these six tips that you can make as easy adjustments to your finances to help you save for your retirement goals.	Andrew Rosen	4 hours ago
15	The Low-Profile Billionaire Who Makes Big, Fat Profits Selling Ethnic Garments For Big, Fat Indian Weddings	As the pandemic wanes and with restrictions now lifted nationwide, wedding celebrations are kicking into high gear again. Ravi Modi, the media-shy chairman and managing director of Vedant Fashions, the country’s largest retailer of men’s ethnic garments, is poised to benefit.	Anu Raghunathan	5 hours ago
16	Private Equity, Crypto Allowed In 401ks—Lottery Tickets Coming Soon?	Now that 401(k) investors are now free to jeopardize their retirement security by gambling on private equity and crypto, maybe its time to allow lottery tickets in 401(k)s. Get ready for “slots of fun!”	Edward Siedle	15 hours ago
17	Supplementary Review: Schweitzer-Mauduit (SWM), June 29, 2022	Earlier this month, SWM announced that upon completion of its pending all-stock merger of equals with Neenah, Inc. (NP), the name of the new combined company will be Mativ Inc. and its shares will begin trading on the NYSE under the new ticker symbol MATV. With both SWM and NP shareholders [...]	Taesik Yoon	16 hours ago
18	Stocks Are Crashing But History Shows This Bear Market Could Recover Faster Than Others	The current bear market is “light relative to many seen since 1946,” analysts say.	Sergei Klebnikov	17 hours ago
19	Should My Investing Strategy Change During A Bear Market	America’s Financial Landscapemericans are currently facing a crisis on two fronts: Stocks are Down in 2022First, investors are facing a “bear market,” meaning the overall trend is for stock prices to fall across the board.	Jaime Catmull	18 hours ago
20	Chase Coleman's Tiger Global Continues To Carve Up Starry Group Stake	The internet company has seen its shares sink since its IPO	GuruFocus	18 hours ago
21	Portfolio Change: One Stock To Buy, June 29	Investors’ fears that consumer demand will slow in the periods ahead as the Fed’s massive rate hikes could push the economy into recession have been so fierce that even the hint of this occurring has been enough to take down a stock. Just look at shares of leading baby/kids clothes maker [...]	Taesik Yoon	19 hours ago
22	Are Alcoholic Beverages Recession And Inflation Resistant?	Growing concerns about the threat of a recession have led to questions about whether beer and spirits consumption would be resilient during an economic downturn. Beer and spirits are an affordable luxury and a small portion of total spending, so volume is not likely to decline significantly.	Bill Stone	20 hours ago
23	Supplementary Review: Progress Software (PRGS), June 29, 2022	Fiscal 2022 Q2 adjusted revenue (includes acquisition-related revenue) climbed 16.8% from the prior year to $150.9 million driven by the November 2021 acquisition of Kemp and solid organic growth in key products. The adjusted operating margin (excludes amortization of acquired intangibles, [...]	Taesik Yoon	20 hours ago
24	3 Key Student Loan Forgiveness Opportunities May End Soon — Here’s How To Apply	Several new student loan forgiveness initiatives are temporary, and borrowers have only a limited time window to apply or benefit from the relief before it ends. Here’s what you need to know, and how to apply.	Adam S. Minsky	20 hours ago
25	Private Agencies No Longer Authorized To Collect IRS Debt For Certain Taxpayer Accounts	The IRS began automatically excluding delinquent accounts whose owners are receiving SSI benefits from assignment to a PCA on Friday, June 24, 2022. On Monday, June 27, 2022 the IRS began recalling previously assigned SSI accounts from their assigned PCA.	Amber Gray-Fenner	21 hours ago
26	Ulta Stock Could Reclaim Year-To-Date Breakeven In H2	After staging an impressive post-earnings pop in late May, the shares of Ulta Beauty (ULTA) spent the former half of this month consolidating just below the $430 level before losing some of this steam as June volatility wore on.	Schaeffer's Investment Research	21 hours ago
27	Carnival Shares Plunge Nearly 15% As Morgan Stanley Warns Of Potential Stock Wipeout	Carnival’s stock is down nearly 60% so far this year but could face more challenges ahead, analysts warn.	Sergei Klebnikov	21 hours ago
28	Who Wins When Netflix Finally Shows Ads	Ads are officially coming to the streaming media company. The announcement is an about-face, and it is game-changing for a whole swath of firms. This is what investors should expect from Netflix, The Trade Desk (TTD), Alphabet (GOOGL) and others in the digital ad space.	Jon Markman	22 hours ago
29	These Global Cities Have The Highest Cost Of Living	A newly released ranking compares prices and housing costs in more than 200 cities to help employers design compensation for expats. But in a world reshaped by the pandemic, where many companies now let employees work from anywhere, the ranking also suggests where your dollar may go furthest.	Anthony Tellez	22 hours ago
30	Why NortonLifeLock Stock Failed To Outperform The S&P Despite Steady Revenue Growth	NortonLifeLock Inc. (NASDAQ: NLOK) stock price rose just 20% from $19 in 2018 end, to around $23 currently, primarily due to slight favorable changes in its P/S multiple and revenues.	Trefis Team	23 hours ago
31	Saylor’s MicroStrategy Bought Another $10 Million In Bitcoin As Crypto Markets Lost $900 Billion In Value	Once worth more than $6 billion, the firm’s bitcoin holdings now stand at roughly $2.7 billion.	Jonathan Ponciano	23 hours ago
32	Profit Taking Hits Despite Travel Booking Bonanza Post Quarantine Easing	Asian equities were a sea of red following the US equity downdraft yesterday.	Brendan Ahern	23 hours ago
33	What’s Next For Mirati Therapeutics Stock After A 20% Rise In A Month?	Mirati Therapeutics stock (NASDAQ: MRTX) has risen a solid 20% in a month, outperforming the broader markets with the S&P500 down 6%.	Trefis Team	24 hours ago
