	date	content	sentiment_score
0	2021-10-29	curve finance crv quietly becomes top performing defi token despite meme token craze . crv 1.87 percent past 24 hours nearly 65 percent past week.	0.44037312
1	2021-10-29	play earn squid token rockets 35 000 percent 3 days users unable sell . token buys entry online game inspired netflix hit show squid game gizmodo noted several suspicious signs.	-0.5487941
2	2021-10-29	bitcoin back el salvador buys 420 btc . swoon recent days largest cryptocurrency bounced back central american country bought dip.	0.47413388
3	2021-10-29	market wrap bitcoin heads ahead options expiry . analysts expect short term choppiness ahead next leg higher.	0.43564695
4	2021-10-30	ether alcanza un r cord de mientras shiba inu se convierte en uno de los principales quemadores de eth . la quema de monedas se refiere al proceso de retirar tokens de circulaci n es el equivalente del mercado de criptomonedas una recompra de acciones.	0.2433946
5	2021-10-30	market wrap ether hits new high outperforms bitcoin altcoins rally . eth 11 percent past week compared 3 percent rise btc period.	0.6298009
6	2021-10-30	decentraland mana jumps 80 percent facebook rebrand fuels metaverse bets . facebook commitment building metaverse signal value unlocked analyst says.	0.20950629
7	2021-10-30	ether reaches record high .4k shiba inu becomes leading eth burner . coin burning refers process removing tokens circulation crypto market equivalent stock buyback.	0.34552178
8	2021-10-30	bitcoin holds support pushes back toward time high . upside momentum improving seasonal strength fourth quarter.	0.7667857
9	2021-11-29	bitcoin tops focus omicron fed powell speech . bitcoin largely grouped risk assets moment one observer said.	0.017907688
10	2021-11-30	crypto.com cro token dominated crypto markets month la stadium deal . token top performer among digital assets market cap billion november.	0.44502556
11	2021-11-30	bitcoin 6 month put call skew flips bearish first time since may . participants may hedging long positions taking outright bearish bets bitcoin.	-0.7617128
12	2021-11-30	bitcoin back defensive moderna ceo warns reduced vaccine efficacy exchange inflows eyed . bitcoin slipped 2.5 percent hitting lows 000 futures tied p 500 declined 1.2 percent.	-0.8763325
13	2021-11-30	crypto exchange kraken list shiba inu fulfilling nov. 1 twitter promise shib fortunes fall . announcement gave shib price surge dismal november.	-0.91200024
14	2021-11-30	market wrap bitcoin bears retreat traders buy dips . bitcoin 6 percent past 24 hours . analysts expect short term price gains.	0.25989115
15	2021-11-30	bitcoin supera los .000 con la atenci n puesta en micron el discurso del presidente de la fed . existe un consenso en el mercado de que los bancos centrales los gobiernos intervendr r pidamente con est mulos si los precios de los activos se desplomaran ante posibles confinamientos en las principales econom.	0.14427614
16	2021-11-30	bitcoin returns momentum improves . buyers need clear resistance maintain uptrend.	0.7026933
17	2021-11-30	first mover asia bitcoin rebound continues third day amid lessening omicron fears . ether one altcoin ranked among coindesk top 20 market cap also rose.	0.73635066
18	2021-12-30	algorand surges foundation incentivizes defi activity algofi . announcement liquidity rewards product built algorand put algo tokens among gainers thursday.	0.49030435
19	2021-12-30	psychology meme coins actual investors . inside appeal meme coins become real.	0.121872835
20	2021-12-30	one big regulatory question holds advisors back crypto . cryptocurrencies securities	-0.17587422
21	2021-12-30	nft project bored ape yacht club spawns left facing copycats . parody projects expose absurdity nft communities intellectual property concerns surrounding digital images.	-0.61090875
22	2021-12-31	market wrap year end review bitcoin etf rally proved short lived dreams faded . october long awaited u.s. bitcoin etf approval sent btc price toward time high almost 000. extreme leverage preceded sell back 100 end year.	-0.6716145
23	2021-12-31	first mover asia bitcoin sees year near amid low volume spot trading . technical analysis supports buy signal bitcoin logged three straight days losses week.	-0.75644267
24	2021-12-31	cryptocurrencies approach new year positive mood . bitcoin advanced highest price three days though biggest cryptocurrencies negative week.	0.7839922
25	2021-12-31	volatility ruled crypto markets 2021 bitcoin elon musk dogecoin moooonn . nfts exploded coinbase stock went public el salvador bought dip china cracked bitcoin miners solana sol tokens polygon matic shot multiples 90 . crypto traders played.	-0.05275584
26	2021-12-31	top 10 cryptocurrencies 2021. tokens linked metaverse ethereum killers meme coins dominated gains year.	0.5396467
27	2022-01-01	shiba inu launches beta version dao give users authority crypto projects . dogecoin rival aiming provide users control crypto projects pairs shibaswap platform.	0.028803185
28	2022-01-03	defi protocol convex finance crosses locked value . protocol allows users earn fees without locking curve native tokens feature helped attract billions dollars capital.	0.3208424
29	2022-01-03	bitcoin net exchange flows flip bearish cryptocurrency struggles directional bias . net inflows imply investor intention sell consistent outflows represent strong holding sentiment.	0.047322184
30	2022-01-03	first mover asia bitcoin rides weekend tide crypto witching day . oldest cryptocurrency experienced small price recovery saturday fell red sunday . roughly .67 billion worth bitcoin ether options contracts expired friday.	-0.52083075
31	2022-01-04	bitcoin stuck range support resistance . price indicators suggest limited downside short term selling pressure slows.	-0.24501322
32	2022-01-04	market wrap bitcoin celebrates birthday dull note analysts expect sideways trading . bitcoin 13th birthday caused little cheer cryptocurrency remains stuck sideways range.	-0.64165807
33	2022-01-04	salvadoran president bukele expects bitcoin reach year . el salvador adopted bitcoin official currency last year.	0.3877503
34	2022-01-04	first mover asia bitcoin slips volume across major centralized exchanges remains low . pretty much choppy since big drop beginning december said efficient frontier andrew tu.	-0.8728539
35	2022-01-04	cosmos based exchange osmosis crosses locked value . trading volume crossed million decentralized exchange prices native tokens surged time highs.	0.43327823
36	2022-01-04	crv extends rally curve wars intensify . protocols building curve entire ecosystem emerging engaged called curve wars one analyst said.	-0.29066503
37	2022-01-04	fantom ftm surges near sets highs major cryptos stagnate . revived interest layer 1 bets fueling growth tokens even bitcoin shows signs weakening.	-0.45228735
38	2022-01-05	bitcoin may squeeze higher retail interest subsides analysts . chain metrics like paper hands ratio glassnode suggest bottom could nearing one analyst said.	-0.33608085
